87 <- [Conf. 5,Sup. 5]
82 <- [Conf. 8,Sup. 8]
54 <- [Conf. 8,Sup. 8]
83 <- [Conf. 8,Sup. 8]
41 <- [Conf. 8,Sup. 8]
37 <- [Conf. 8,Sup. 8]
28 <- [Conf. 8,Sup. 8]
64 <- [Conf. 8,Sup. 8]
84 <- [Conf. 8,Sup. 8]
26 <- [Conf. 8,Sup. 8]
36 <- [Conf. 8,Sup. 8]
48 <- [Conf. 8,Sup. 8]
66 <- [Conf. 8,Sup. 8]
78 <- [Conf. 8,Sup. 8]
51 <- [Conf. 8,Sup. 8]
42 <- [Conf. 8,Sup. 8]
72 <- [Conf. 8,Sup. 8]
49 <- [Conf. 8,Sup. 8]
63 <- [Conf. 8,Sup. 8]
77 <- [Conf. 8,Sup. 8]
22 <- [Conf. 8,Sup. 8]
59 <- [Conf. 8,Sup. 8]
68 <- [Conf. 8,Sup. 8]
32 <- [Conf. 8,Sup. 8]
34 <- [Conf. 8,Sup. 8]
24 <- [Conf. 8,Sup. 8]
33 <- [Conf. 8,Sup. 8]
76 <- [Conf. 8,Sup. 8]
71 <- [Conf. 8,Sup. 8]
29 <- [Conf. 8,Sup. 8]
27 <- [Conf. 8,Sup. 8]
58 <- [Conf. 8,Sup. 8]
70 <- [Conf. 8,Sup. 8]
31 <- [Conf. 8,Sup. 8]
61 <- [Conf. 8,Sup. 8]
69 <- [Conf. 8,Sup. 8]
62 <- [Conf. 8,Sup. 8]
53 <- [Conf. 8,Sup. 8]
56 <- [Conf. 8,Sup. 8]
21 <- [Conf. 8,Sup. 8]
50 <- [Conf. 8,Sup. 8]
81 <- [Conf. 8,Sup. 8]
57 <- [Conf. 8,Sup. 8]
40 <- [Conf. 8,Sup. 8]
47 <- [Conf. 8,Sup. 8]
38 <- [Conf. 8,Sup. 8]
67 <- [Conf. 8,Sup. 8]
46 <- [Conf. 8,Sup. 8]
23 <- [Conf. 8,Sup. 8]
25 <- [Conf. 8,Sup. 8]
60 <- [Conf. 8,Sup. 8]
35 <- [Conf. 8,Sup. 8]
39 <- [Conf. 8,Sup. 8]
79 <- [Conf. 8,Sup. 8]
55 <- [Conf. 8,Sup. 8]
30 <- [Conf. 8,Sup. 8]
75 <- [Conf. 8,Sup. 8]
44 <- [Conf. 8,Sup. 8]
20 <- [Conf. 8,Sup. 8]
43 <- [Conf. 8,Sup. 8]
45 <- [Conf. 8,Sup. 8]
80 <- [Conf. 8,Sup. 8]
73 <- [Conf. 8,Sup. 8]
52 <- [Conf. 8,Sup. 8]
74 <- [Conf. 8,Sup. 8]
65 <- [Conf. 8,Sup. 8]
9 <- [Conf. 25,Sup. 25]
17 <- [Conf. 25,Sup. 25]
1 <- [Conf. 25,Sup. 25]
12 <- [Conf. 25,Sup. 25]
15 <- [Conf. 25,Sup. 25]
5 <- [Conf. 25,Sup. 25]
6 <- [Conf. 25,Sup. 25]
3 <- [Conf. 25,Sup. 25]
18 <- [Conf. 25,Sup. 25]
0 <- [Conf. 25,Sup. 25]
8 <- [Conf. 25,Sup. 25]
11 <- [Conf. 25,Sup. 25]
19 <- [Conf. 25,Sup. 25]
13 <- [Conf. 25,Sup. 25]
7 <- [Conf. 25,Sup. 25]
4 <- [Conf. 25,Sup. 25]
10 <- [Conf. 25,Sup. 25]
14 <- [Conf. 25,Sup. 25]
2 <- [Conf. 25,Sup. 25]
16 <- [Conf. 25,Sup. 25]
86 <- [Conf. 42,Sup. 42]
85 <- [Conf. 50,Sup. 50]
